imdb_id,titleType,primaryTitle,runtimeMinutes,id,budget,original_language,popularity,revenue,release_month,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,weighted_rating,actor_present,directors_present,Variance
tt0026529,movie,The Informer,91.0,43896,243000,en,0.349574,950000,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56779784958107,0,0,707000
tt0026752,movie,Mutiny on the Bounty,132.0,12311,1950000,en,1.00142,4460000,11,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.042907995094595,0,0,2510000
tt0027040,movie,Star of Midnight,90.0,53863,280,en,0.004163,831,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.328973567458999,0,0,551
tt0027125,movie,Top Hat,101.0,3080,609000,en,1.569126,3202000,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.031910673909339,0,0,2593000
tt0027438,movie,The Charge of the Light Brigade,115.0,43884,1200000,en,0.14175,2736000,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.4591662110642165,0,0,1536000
tt0027690,movie,The Gorgeous Hussy,103.0,112284,1119000,en,0.020194,2019000,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.261918857678645,1,0,900000
tt0027948,movie,Mary of Scotland,123.0,43875,864000,en,0.188144,1276000,8,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29104664372327,0,0,412000
tt0027977,movie,Modern Times,87.0,3082,1,en,2.977311,8500000,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.328227847755016,0,0,8499999
tt0028216,movie,San Francisco,115.0,43881,1300000,en,0.014598,5273000,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.496039380511591,0,0,3973000
tt0028333,movie,Swing Time,103.0,20325,886000,en,0.461879,2600000,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.824532922561282,0,0,1714000
tt0029583,movie,Snow White and the Seven Dwarfs,83.0,408,1488423,en,5.853325,184925486,12,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.479270379347628,0,0,183437063
tt0029843,movie,The Adventures of Robin Hood,102.0,10907,2033000,en,2.322594,3981000,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.447424812525625,0,0,1948000
